Upload scanned document,output,flag,username,timestamp
/Users/christostsinaridis/Desktop/VSCode Workspaces/checkbox-detector/flagged/Upload scanned document/96456e591e4989f3da18101fc9dfb20ab3cb3bd3/tmpuo2ecln1.png,,,,2024-01-18 14:34:53.179549
/Users/christostsinaridis/Desktop/VSCode Workspaces/checkbox-detector/flagged/Upload scanned document/b1ed42a1ef809da879984fdc0f0564975176af60/tmps9mvgfsk.png,,,,2024-01-18 14:35:15.738839
